25.1,90,24.35,89.19,5,20,402411
25.1,90,24.43,93.0,5,21,951780
25.1,90,24.91,93.0,5,32,45057
25.1,90,25.31,93.0,5,40,685087
25.1,90,25.55,93.0,5,50,73242
25.1,90,25.79,93.0,5,60,218211
25.2,90,26.07,93.0,5,71,911686
25.3,90,26.31,93.0,5,81,282302
25.4,90,26.61,93.0,5,90,676044
25.5,90,26.93,93.0,5,100,57940
25.6,90,27.11,93.0,5,110,229196
25.7,90,27.33,93.0,5,120,371632
25.8,90,27.61,93.0,5,130,571460
26.0,90,27.79,93.0,5,140,742680
26.1,90,27.95,93.0,5,150,146558
26.3,90,28.22,93.0,5,161,114851
26.4,90,28.41,93.0,5,170,460905
26.6,90,28.64,93.0,5,181,413859
26.7,90,28.89,93.0,5,190,778074
26.9,90,29.08,93.0,5,200,184991
27.1,90,29.32,93.0,5,210,339104
27.3,90,29.5,93.0,5,220,504857
27.4,90,29.67,93.0,5,230,650673
27.6,90,29.92,93.0,5,240,70665
27.8,90,30.08,93.0,5,250,269405
28.0,90,30.4,93.0,5,261,959219
28.1,90,30.61,93.0,5,270,510396
28.3,90,30.82,93.0,5,280,647986
28.5,90,30.96,93.0,5,290,48310
28.7,90,31.14,93.0,5,300,250791
28.9,90,31.39,93.0,5,311,194580
29.1,90,31.58,93.0,5,320,546182
29.3,90,31.81,93.0,5,331,453611
29.5,90,32.0,93.0,5,340,33070
29.6,90,32.16,93.0,5,350,171263
29.8,90,32.41,93.0,5,360,381211
30.1,90,32.6,93.0,5,370,518941
30.3,90,32.73,93.0,5,380,668911
30.5,90,32.73,93.0,5,390,810686
30.6,90,32.73,93.0,5,400,234668
30.8,90,32.73,93.0,5,411,154685
31.1,90,32.73,93.0,5,421,329045
31.2,90,32.73,93.0,5,430,757190
31.5,90,32.73,93.0,5,440,160379
31.6,90,32.73,93.0,5,450,280719
31.8,90,32.73,93.0,5,460,450774
32.0,90,32.73,93.0,5,470,617538
32.2,90,32.73,93.0,5,480,24934
